customer_id,number_of_visits,product_views,cart_additions,checkout_started,previous_purchases,average_order_value,days_since_last_activity,customer_value,discount_used,email_engagement,session_duration,potential_lost_sale,recovered,recovery_probability_true
CUST-1000,4,14,6,1,2,73.67,6,Low,0,0.13,1757.0,1,1,0.584
CUST-1001,6,8,3,1,3,153.84,4,Medium,0,0.13,831.4,1,1,0.727
CUST-1002,5,23,8,1,6,100.42,3,High,0,0.41,2631.2,0,0,0.897
CUST-1003,5,25,6,1,4,159.69,3,High,1,0.42,1812.1,1,1,0.942
CUST-1004,2,6,1,0,2,31.76,3,Low,1,0.5,771.9,1,1,0.885
CUST-1005,7,30,11,0,0,92.6,22,Low,0,0.37,1643.1,1,1,0.091
CUST-1006,5,11,7,1,1,57.97,2,Low,0,0.28,1226.4,1,1,0.754
CUST-1007,9,31,7,0,0,85.51,11,Low,1,0.41,3018.8,0,0,0.426
CUST-1008,4,6,1,1,1,165.93,8,Medium,1,0.54,513.5,1,1,0.872
CUST-1009,2,10,5,0,2,170.77,1,Medium,0,0.27,915.7,1,1,0.835
CUST-1010,7,14,2,1,5,163.11,30,High,1,0.2,1073.9,1,0,0.289
CUST-1011,13,40,17,1,2,152.93,9,Medium,1,0.24,2182.0,1,1,0.769
CUST-1012,3,7,2,1,1,143.64,7,Low,0,0.54,778.4,0,0,0.739
CUST-1013,6,7,2,1,4,187.65,4,High,0,0.1,870.3,1,0,0.805
CUST-1014,8,34,10,1,0,39.25,5,Low,1,0.38,3006.3,1,1,0.589
CUST-1015,3,12,3,1,2,265.83,2,High,1,0.28,1187.6,1,1,0.932
CUST-1016,10,23,7,1,2,125.81,1,Medium,0,0.19,1244.3,1,1,0.812
CUST-1017,9,31,14,1,1,188.27,11,Medium,1,0.34,1811.1,1,1,0.761
CUST-1018,1,5,2,1,3,21.78,14,Low,1,0.43,580.8,1,1,0.641
CUST-1019,5,11,5,1,1,138.19,2,Low,1,0.51,1390.5,1,1,0.898
CUST-1020,8,11,5,1,0,99.5,10,Low,0,0.34,1343.3,1,1,0.285
CUST-1021,3,4,1,1,3,121.39,9,Medium,1,0.25,407.2,1,1,0.772
CUST-1022,13,28,11,1,1,83.21,2,Low,0,0.4,2458.0,1,1,0.796
CUST-1023,8,32,11,0,1,89.92,4,Low,0,0.66,2839.2,0,0,0.838
CUST-1024,5,16,7,0,2,174.34,4,Medium,1,0.76,1709.8,1,1,0.945
CUST-1025,11,34,10,1,3,154.33,9,Medium,0,0.5,3341.4,1,0,0.754
CUST-1026,3,7,3,1,2,54.74,11,Low,0,0.09,785.7,1,1,0.416
CUST-1027,13,53,23,1,3,91.61,1,Medium,1,0.77,2586.2,1,1,0.962
CUST-1028,6,14,4,0,0,125.53,5,Low,1,0.55,1664.7,0,0,0.668
CUST-1029,4,6,0,0,1,138.54,9,Low,0,0.31,465.7,0,0,0.584
CUST-1030,7,15,5,1,3,311.51,10,High,0,0.38,1255.7,1,1,0.779
CUST-1031,7,17,5,1,3,152.41,1,Medium,0,0.44,2059.9,1,1,0.877
CUST-1032,11,15,6,1,7,50.55,5,Medium,0,0.75,1304.6,1,1,0.891
CUST-1033,14,56,26,1,5,141.85,12,High,1,0.6,2937.9,1,1,0.887
CUST-1034,4,14,5,1,1,74.61,3,Low,1,0.08,989.2,1,1,0.769
CUST-1035,7,9,3,1,5,128.3,4,High,1,0.43,883.8,1,0,0.936
CUST-1036,17,73,27,1,0,324.52,10,Low,0,0.22,3943.6,0,0,0.239
CUST-1037,11,24,5,1,3,111.21,1,Medium,1,0.67,1882.6,1,1,0.953
CUST-1038,3,5,1,1,1,207.46,12,Medium,0,0.59,465.1,1,1,0.719
CUST-1039,14,46,21,1,2,141.13,3,Medium,1,0.27,5060.9,1,1,0.879
CUST-1040,12,37,14,0,0,260.24,1,Low,0,0.44,2104.3,1,1,0.589
CUST-1041,3,10,0,0,1,179.65,2,Medium,0,0.68,1103.1,0,0,0.911
CUST-1042,5,8,2,1,0,219.47,1,Low,0,0.56,638.8,1,1,0.646
CUST-1043,15,51,19,1,1,165.02,1,Medium,0,0.41,4576.4,1,1,0.87
CUST-1044,8,8,4,1,2,110.51,8,Medium,1,0.33,518.7,1,1,0.818
CUST-1045,1,6,3,1,1,246.65,2,Medium,1,0.39,723.1,1,0,0.912
CUST-1046,10,21,6,1,4,156.82,17,High,1,0.74,2183.4,1,1,0.851
CUST-1047,2,5,3,1,0,113.89,5,Low,1,0.3,331.5,1,1,0.55
CUST-1048,4,6,2,1,0,99.51,4,Low,0,0.64,714.6,1,1,0.599
CUST-1049,12,50,19,1,0,159.28,4,Low,0,0.12,5531.6,1,1,0.345
CUST-1050,5,21,8,1,3,227.72,8,High,1,0.52,1124.5,1,1,0.915
CUST-1051,8,18,4,1,1,171.36,4,Medium,0,0.11,1709.8,1,1,0.719
CUST-1052,10,33,17,1,1,117.94,1,Low,0,0.55,3097.4,1,1,0.856
